Land use,Fe (mg/L)
Abandoned,0.10
Abandoned,0.32
Abandoned,0.32
Abandoned,0.36
Abandoned,0.48
Abandoned,0.52
Abandoned,0.55
Abandoned,0.57
Abandoned,0.61
Abandoned,0.87
Abandoned,1.30
Abandoned,1.40
Abandoned,1.60
Abandoned,1.70
Abandoned,1.80
Abandoned,2.10
Abandoned,2.30
Abandoned,2.50
Abandoned,2.50
Abandoned,2.70
Abandoned,3.20
Abandoned,3.70
Abandoned,5.40
Abandoned,5.60
Abandoned,6.00
Abandoned,6.00
Abandoned,6.30
Abandoned,6.60
Abandoned,6.60
Abandoned,9.90
Abandoned,13.00
Abandoned,23.00
Abandoned,85.00
Abandoned,310.00
Reclaimed,0.07
Reclaimed,0.08
Reclaimed,0.09
Reclaimed,0.09
Reclaimed,0.11
Reclaimed,0.15
Reclaimed,0.19
Reclaimed,0.20
Reclaimed,0.21
Reclaimed,0.21
Reclaimed,0.22
Reclaimed,0.23
Reclaimed,0.24
Reclaimed,0.25
Reclaimed,0.25
Reclaimed,0.28
Reclaimed,0.28
Reclaimed,0.28
Reclaimed,0.29
Reclaimed,0.29
Reclaimed,0.33
Reclaimed,0.33
Reclaimed,0.34
Reclaimed,0.36
Reclaimed,0.38
Reclaimed,0.43
Reclaimed,0.44
Reclaimed,0.49
Reclaimed,0.56
Reclaimed,0.58
Reclaimed,0.58
Reclaimed,0.60
Reclaimed,0.65
Reclaimed,0.75
Reclaimed,0.90
Reclaimed,0.92
Reclaimed,1.20
Reclaimed,1.30
Reclaimed,1.50
Reclaimed,1.70
Reclaimed,2.80
Reclaimed,3.20
Reclaimed,3.20
Reclaimed,3.90
Reclaimed,4.50
Reclaimed,8.40
Reclaimed,28.00
Reclaimed,33.00
Unmined,0.04
Unmined,0.04
Unmined,0.05
Unmined,0.05
Unmined,0.06
Unmined,0.06
Unmined,0.06
Unmined,0.08
Unmined,0.11
Unmined,0.12
Unmined,0.16
Unmined,0.16
Unmined,0.20
Unmined,0.20
Unmined,0.20
Unmined,0.21
Unmined,0.23
Unmined,0.25
Unmined,0.27
Unmined,0.29
Unmined,0.32
Unmined,0.35
Unmined,0.38
Unmined,0.40
Unmined,0.41
Unmined,0.43
Unmined,0.44
Unmined,0.47
Unmined,0.48
Unmined,0.49
Unmined,0.51
Unmined,0.52
Unmined,0.56
Unmined,0.68
Unmined,1.20
Unmined,1.20
Unmined,4.50
Unmined,36.00
